activity_id,enriched_keywords
e678bea2-53e4-53f0-b29e-41df0315816e,"oral hygiene, dental care, plaque removal, gum health, teeth cleaning, interdental cleaning, fresh breath, oral health, preventive care, toothbrush"
20f197d8-38e9-562b-ad1d-0ae6d2304963,"bodyweight training, strength building, flexibility, endurance, functional fitness, mobility, posture improvement, workout routines, core stability, muscle control"
29e948ba-6a22-5712-b0a1-5dc2971fb84f,"meditation, spirituality, reflection, worship, devotion, faith, mindfulness, guidance, community, connection"
e608ee38-c8ca-5384-bd0f-54a32ddfafd5,"fitness, coordination, rhythm, exercise, agility, flexibility, balance, fun, dance, workout"
8ca4de14-b3b3-5556-b1a9-7572068c1d7c,"tobacco, addiction, health risks, cessation, secondhand smoke, respiratory issues, nicotine, lung cancer, social stigma, public policy"
8a0ea615-9f6c-5f96-a916-1a112329d279,"Beverages, Refreshments, Non-alcoholic, Soft drinks, Juices, Smoothies, Infusions, Carbonated drinks, Tea, Coffee"
f38a79f1-495c-5e42-a661-646e80d9acf3,"Irrigation, Horticulture, Soil Moisture, Plant Care, Fertilization, Growth Environment, Hydroponics, Gardening, Ecosystem, Nutrient Absorption"
deb94022-33d7-5020-aa86-ca2efc86aa23,"waves, ocean, board, swell, tide, beach, competition, maneuver, style, session"
0ede326d-522d-53f5-ae0e-7540b0816e77,"Training, Sparring, Footwork, Conditioning, Technique, Endurance, Strategy, Punching, Defense, Agility"
50518eae-1753-50d8-89eb-62f4e2991503,"Cuisine, Recipe, Cooking, Ingredients, Meal Prep, Dietary, Nutrition, Culinary, Flavor, Presentation"
1281a1f8-c2b1-5d30-994d-2ba35d3fae3d,"cycle, health, hygiene, fertility, symptoms, products, education, wellness, discomfort, tracking"
22a91a4a-61b8-5686-b0a5-aaf5f7b265a4,"Ascent, altitude, terrain, harness, belay, foothold, crux, summit, bouldering, safety"
dd424672-11e2-5f5a-a695-f84ecdb17251,"aerobic exercise, resistance training, cardiovascular health, muscle toning, joint flexibility, aquatic therapy, calorie burning, stamina building, low-impact workout, health benefits"
127162ea-ed94-53a4-a356-e775ca07c159,"romance, relationship, planning, communication, intimacy, connection, schedule, outing, experience, engagement"
cf89ab22-afb6-5750-8896-4f4edc2d7d16,"mental health, counseling, emotional support, well-being, self-care, mindfulness, coping strategies, personal growth, psychological resilience, interpersonal relationships"
d9e31dca-a449-5cfd-854a-52ceeaa328ae,"Nutrients, Supplements, Deficiency, Absorption, Minerals, Antioxidants, Health, Dietary, Metabolism, Bioavailability"
13d13031-dffb-5e15-87dc-1e842435b1a5,"Pilates, strength training, flexibility, core stability, low-impact workout, isometric exercises, balance, alignment, mind-body connection, fitness class"
ed9e0e06-9618-5649-8435-9fea1c970a16,"teamwork, agility, strategy, athleticism, competition, endurance, sportsmanship, coordination, playbook, camaraderie"
f20ef3f5-aebe-5045-a1da-c2cf7846f7c4,"budgeting, financial management, cost tracking, spending analysis, cash flow, financial planning, receipt organization, expense reporting, monetary allocation, household budgeting"
1b5f4957-2ddd-5436-ad72-f6f6361f2762,"Detoxification, Purification, Wellness, Hydration, Renewal, Rejuvenation, Natural Remedies, Health Regimen, Mindfulness, Holistic Approach"
e04490ea-83ff-5bfc-bf51-268a98dcb88c,"business trip, travel itinerary, expense report, accommodation, conference, networking, flight booking, transportation, travel policy, productivity tools"
85e20d41-12d7-5e78-8ea7-d4c705e8ec4d,"winter, outdoor recreation, hiking, snow, terrain, fitness, nature, trails, equipment, adventure"
1a359ccd-a5d2-57fc-8dc1-91a57bcb7009,"underwater exploration, marine life, snorkeling, dive gear, buoyancy control, dive safety, coral reefs, pressure changes, decompression stops, underwater photography"
a67e680e-460a-5941-9fa8-56bf5a2ebce6,"Strength, Fitness, Endurance, Resistance, Training, Muscle, Power, Conditioning, Repetition, Performance"
6f64bdd9-4325-555f-bb04-5971164a883d,"Aquatic, exercise, fitness, endurance, competition, technique, safety, training, relaxation, therapy"
139073e1-66d0-5e84-b5f8-016bb4b930cd,"respiration, oxygen, inhalation, exhalation, lung capacity, diaphragm, pulmonary function, mindfulness, relaxation, ventilation"
c86bc0da-4ef1-5d35-8daf-7564339102cf,"Retail therapy, online marketplace, consumer goods, price comparison, shopping cart, seasonal sales, checkout process, product reviews, discount codes, gift shopping"
50e07fb4-e6bb-5193-b70b-db56b94e1a3c,"Balance, Agility, Speed, Coordination, Tricks, Jumps, Stunts, Maneuvers, Surface, Safety"
92e0fba6-25a8-5fe9-b559-ada7972421c4,"Nutrition, Hydration, Vitamins, Freshness, Antioxidants, Extraction, Blending, Refreshment, Flavor, Health"
2d1e0bcd-10fb-56d5-a37c-065535d6b695,"Yoga, Pilates, Stretching, Home Workout, Bodyweight Exercises, Fitness Routine, Flexibility, Balance, Mindfulness, Recovery"
5ca919b2-5b4d-59c5-ba55-fd509a9bdef0,"Staircase, Elevation, Ascent, Descent, Safety Rail, Footing, Tread, Railing, Landing, Access"
2e77d69c-7cdf-5092-b422-c8cef2f5657e,"mobile testing, software quality assurance, automated testing, user interface testing, performance evaluation, debugging techniques, test case development, device compatibility, functional testing, test automation frameworks"
100cbd92-331c-5a05-a9f2-428e9cabc4b5,"Trauma, Rehabilitation, Pain, Recovery, Treatment, Therapy, Diagnosis, Prevention, Symptoms, Mobility"
68147d7a-a4d5-5970-a71a-04e4067577d1,"recreation, bonding, exploration, adventure, leisure, togetherness, sightseeing, engagement, nature, enjoyment"
81854450-6c8a-5b99-8ed1-b90124b0cb85,"pelvic floor, muscle strength, urinary health, core stability, sexual wellness, rehabilitation exercises, postpartum recovery, incontinence management, pelvic alignment, women's health"
3f31c095-2179-5cbe-925e-bc1f4f2d597f,"digestion, gastrointestinal, health, stool, regularity, fiber, hydration, colon, wellness, constipation"
0565bdfc-51a5-54df-b83c-fb2baf12a305,"dirt bike, off-road, racing, suspension, throttle control, jumps, tracks, protective gear, stunts, adrenaline"
370dc58b-3eb5-5f50-a1e3-36a14e563576,"Resistance, Hypertrophy, Endurance, Reps, Sets, Muscle, Load, Recovery, Form, Conditioning"
881d88f7-d2ef-56a6-9022-9603eaeb31fc,"photobiomodulation, infrared, skin rejuvenation, healing, inflammation reduction, collagen production, pain relief, light wavelengths, cellular energy, therapeutic benefits"
0898b4a2-fa32-544a-b5ca-eb87ac0d675a,"goal, strategy, teamwork, referee, match, training, tactics, championship, fanbase, skill"
0b43c0a1-9849-5f47-b11e-2f2aed897e49,"Pace, Endurance, Stamina, Distance, Warm-up, Cool-down, Cadence, Form, Stride, Recovery"
d30c2ded-d48d-5e0e-bee1-80244f8b193d,"strength training, weightlifting, resistance exercise, muscle building, fitness regimen, gym equipment, physical conditioning, powerlifting, exercise routine, athletic performance"
c67f6787-3818-52f1-8094-49f25135337b,"athletics, competition, sprinting, long jump, hurdles, relay, pole vault, endurance, coaching, training"
a3b4e90d-6e1f-57e0-befd-95303617441b,"lactation, newborn nutrition, maternal health, breastfeeding benefits, infant bonding, nursing techniques, milk supply, feeding schedule, postpartum care, breastfeeding support"
4f013de6-b34e-5824-a36d-12c40a53a51d,"diversity, innovation, collaboration, flexibility, adaptability, creativity, exploration, integration, engagement, versatility"
b57cf1ea-e4f4-5371-b6b5-cda5502fb173,"rest, relaxation, circadian rhythm, bedtime, slumber, rejuvenation, fatigue, dream, health, tranquility"
52ce9f13-395b-5a7a-86ac-12c8c4f32dd3,"Nail care, Nail art, Nail design, Nail health, Nail polish, Nail tools, Nail growth, Nail maintenance, Nail treatments, Nail hygiene"
a1629b84-7e9d-5969-a5d6-2748be284a7e,"celebration, networking, socializing, entertainment, refreshments, invitations, decor, music, venue, theme"
d3b5f485-9578-53b7-ac97-b5fb3df43bc7,"workshop, training, learning, engagement, collaboration, discussion, facilitation, participation, feedback, brainstorming"
88e81fb1-3384-5dc8-9163-d6cb4f6f85b4,"anxiety, stress, coping strategies, mental health, breathing techniques, mindfulness, triggers, self-care, therapy, emotional regulation"
c5a630d8-c585-5c19-bbc7-604dbcb74334,"literacy, comprehension, analysis, narrative, annotation, engagement, interpretation, fluency, discernment, vocabulary"
45f7c242-baab-5cba-be1c-8d96ea98a471,"cardiovascular, fitness, endurance, training, workout, resistance, motion, health, exercise, performance"
e8791fb3-bbcc-57e6-8371-b8d1eff192fa,"snow, slopes, winter, mountains, equipment, altitude, technique, gear, trails, avalanche"
8d14b250-6fbd-53dc-960f-1d6830344ac9,"motorcycle, off-road, terrain, maneuverability, suspension, throttle, adrenaline, safety gear, trails, jumps"
fdc943fb-b2db-50f9-9622-97f61072cc50,"fitness, training, workout, cardio, conditioning, agility, endurance, strength, competition, technique"
c7c06888-4e15-5512-8d1e-309adf04d6b3,"communication, mobile, connectivity, technology, call, text, application, network, device, wireless"
e4412705-dbf1-5726-8dcc-2962cc4c7b9a,"Productivity, Collaboration, Innovation, Workflow, Time Management, Engagement, Communication, Efficiency, Planning, Performance"
29e017a0-fc34-50bc-97bb-197d2a720238,"nutrition, mindfulness, health tracking, meal planning, dietary habits, food diary, calorie counting, portion control, wellness, self-reflection"
68e96e11-96c8-5cc2-b8b0-9a4529fdfe98,"fitness, endurance, strength, flexibility, conditioning, rehabilitation, performance, agility, workout, versatility"
efbdbb4f-71e0-5e1b-b0eb-5d706cbcea36,"goal, referee, pitch, dribble, offside, teamwork, strategy, training, match, player"
16871b7e-1810-5859-9cdd-5b5ac919cc21,"exercise, fitness, wellness, health, movement, strength, endurance, agility, rehabilitation, performance"
c59adbe5-0222-5af3-8f6e-73c490a498ec,"Administration, Prescription, Dosage, Adherence, Side Effects, Interaction, Formulation, Route of Delivery, Monitoring, Compliance"
8e0dc783-93a1-57dc-b736-4094b4e11611,"Resort, Adventure, Relaxation, Itinerary, Exploration, Culture, Accommodation, Sightseeing, Wellness, Experience"
9beceaf3-046c-5d31-8a4a-6382672707eb,"bronze, sunless, skin, tanning solution, UV-free, glow, bronzer, pigmentation, moisturizer, beauty treatment"
60fb715e-7e98-5e08-9da6-04f7c182fd1f,"Fever, Nausea, Fatigue, Headache, Symptoms, Infection, Wellness, Recovery, Consultation, Treatment"
761cee39-9bea-5f2a-81ff-909e722d54e5,"Aquatic therapy, Rehabilitation, Water exercise, Physical therapy, Pain relief, Mobility enhancement, Wellness, Relaxation techniques, Circulation improvement, Muscle recovery"
a199cbf9-418e-5ea0-9d3e-90a3a87a566d,"Immunization, Vaccination, Health, Disease Prevention, Public Health, Side Effects, Syringe, Dosage, Healthcare Provider, Adverse Reactions"
e07eaa92-24a1-540f-80ec-44c07257f6df,"vehicle, transportation, mobility, engine, road, travel, maintenance, fuel, safety, navigation"
e9e5d45a-1e33-5803-8614-ee2dd87ce8f2,"rally, serve, spin, paddle, rally scoring, backhand, forehand, smash, footwork, net height"
7b5ade87-ec83-5cbb-8567-9ea0440edee7,"adventure, river, rapids, paddling, teamwork, safety, navigation, wilderness, thrill, exploration"
333f4d52-e05c-5aed-a009-43fdc73b4758,"travel, itinerary, accommodations, meetings, expenses, networking, logistics, productivity, scheduling, transportation"
d265fab5-6985-5f20-8449-95f26857da33,"laboratory tests, diagnostic analysis, health screening, blood sample, clinical chemistry, hematology assessment, disease monitoring, biomarker evaluation, preventive care, patient health"
853d261e-06e3-5385-8b2a-bc74b23da400,"spirituality, meditation, prayer, worship, faith, reflection, mindfulness, ritual, belief, community"
182a8a16-1618-51a4-86b8-c5481f52f787,"ice, stone, rink, skip, sweep, rock, score, end, house, delivery"
d1376acf-b83a-50b7-a520-a6c90dcdecfd,"Research, Analysis, Review, Comprehension, Synthesis, Evaluation, Memorization, Observation, Application, Engagement"
447ba779-1f8b-5f16-918e-77fd8b67f356,"flexibility, rehabilitation, muscle activation, proprioception, range of motion, contract-relax, neuromuscular, stretching techniques, athletic performance, injury prevention"
a42c4d0a-dd38-5fa0-acd3-7692f4f8388a,"swordsmanship, tournament, bout, en garde, lunge, parry, fencing mask, epée, foil, sabre"
6c2d570c-bc8d-58e4-8aa0-e2a13f505e5f,"hearing, sound sensitivity, ear health, auditory system, noise exposure, hearing loss, acoustic therapy, sound masking, ear ringing, audiology"
